,idcliente,genero,aposentado,casado,dependentes,mesescomocliente,servicotelefone,multiplaslinhas,servicointernet,servicosegurancaonline,servicobackuponline,protecaoequipamento,servicosuportetecnico,servicostreamingtv,servicofilmes,tipocontrato,faturadigital,formapagamento,valormensal,totalgasto,churn
1767,2696-ECXKC,Feminino,0,Sim,Sim,55,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Sim,Sim,Anual,Nao,BoletoImpresso,100.9,5448.6,Nao
1768,2296-DKZFP,Feminino,0,Sim,Nao,65,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Sim,2 anos,Nao,DebitoAutomatico,71.0,4386.2,Nao
1769,9971-ZWPBF,Masculino,1,Sim,Sim,34,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,108.9,3625.2,Nao
1770,2634-HCZGT,Masculino,1,Sim,Nao,53,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Anual,Sim,BoletoEletronico,60.05,3229.65,Sim
1771,7696-CFTAT,Masculino,0,Sim,Sim,37,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,19.8,726.1,Nao
1772,2189-WWOEW,Feminino,0,Nao,Sim,15,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Sim,DebitoAutomatico,85.9,1269.55,Sim
1773,5702-KVQRD,Masculino,0,Sim,Nao,71,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,BoletoEletronico,82.55,5832.65,Nao
1774,4343-EJVQB,Masculino,0,Nao,Nao,7,Sim,Nao,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,74.35,533.6,Nao
1775,3022-BEXHZ,Masculino,0,Sim,Sim,67,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,111.2,7530.8,Nao
1776,2279-AXJJK,Masculino,0,Sim,Nao,52,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Nao,Sim,Mensal,Sim,CartaoCredito,95.65,5088.4,Nao
1777,8213-TAZPM,Feminino,0,Sim,Sim,69,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Sim,DebitoAutomatico,108.75,7493.05,Nao
1778,6778-EICRF,Masculino,0,Sim,Sim,24,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Anual,Nao,BoletoImpresso,74.8,1821.2,Nao
1779,2272-UOINI,Feminino,0,Nao,Nao,7,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,78.5,571.05,Nao
1780,7452-FOLON,Masculino,0,Nao,Sim,39,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,25.45,958.45,Nao
1781,1215-EXRMO,Masculino,0,Sim,Nao,50,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.55,1067.65,Nao
1782,9571-EDEBV,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Anual,Sim,CartaoCredito,98.65,6962.85,Nao
1783,0854-UYHZD,Feminino,0,Sim,Sim,13,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.55,265.3,Nao
1784,8992-CEUEN,Feminino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoEletronico,18.85,18.85,Nao
1785,0082-OQIQY,Masculino,0,Nao,Nao,29,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,94.2,2607.6,Nao
1786,0822-QGCXA,Feminino,1,Sim,Nao,27,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Nao,BoletoEletronico,83.85,2310.2,Nao
1787,5306-BVTKJ,Masculino,0,Sim,Sim,48,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Nao,Nao,Anual,Sim,CartaoCredito,55.8,2651.2,Nao
1788,2472-OVKUP,Masculino,0,Sim,Nao,6,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,91.0,531.0,Sim
1789,8097-OMULG,Masculino,0,Sim,Sim,59,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Nao,CartaoCredito,76.75,4541.9,Nao
1790,1421-HCERK,Masculino,1,Sim,Nao,30,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Nao,Mensal,Sim,DebitoAutomatico,105.7,3181.8,Nao
1791,5918-VUKWP,Feminino,0,Nao,Nao,32,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,20.55,654.55,Nao
1792,3318-NMQXL,Masculino,0,Nao,Nao,3,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,92.0,266.8,Nao
1793,6921-OZMFH,Masculino,0,Sim,Sim,5,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,55.7,259.4,Nao
1794,9415-ZNBSX,Feminino,0,Sim,Sim,70,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,89.0,6293.2,Nao
1795,5542-TBBWB,Masculino,0,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.9,69.9,Nao
1796,7401-JIXNM,Feminino,0,Sim,Sim,54,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,CartaoCredito,91.3,4965.0,Nao
1797,1452-UZOSF,Masculino,0,Sim,Sim,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Nao,2 anos,Sim,CartaoCredito,106.1,7548.6,Nao
1798,0531-XBKMM,Masculino,0,Nao,Sim,66,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Nao,Nao,2 anos,Nao,DebitoAutomatico,65.7,4378.9,Nao
1799,5154-VEKBL,Feminino,0,Nao,Nao,9,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Mensal,Nao,BoletoImpresso,58.5,539.85,Sim
1800,2516-XSJKX,Feminino,0,Sim,Sim,41,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,BoletoEletronico,78.45,3126.45,Nao
1801,4782-OSFXZ,Feminino,1,Sim,Nao,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Sim,2 anos,Sim,DebitoAutomatico,82.7,5831.2,Nao
1802,9351-HXDMR,Masculino,0,Sim,Nao,72,Sim,Sim,Fibra,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,110.9,8240.85,Nao
1803,8309-PPCED,Feminino,0,Sim,Nao,72,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,110.45,7982.5,Nao
1804,8802-UNOJF,Masculino,1,Nao,Nao,12,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,83.8,1029.75,Sim
1805,7753-USQYQ,Masculino,0,Nao,Nao,55,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Nao,Sim,Anual,Sim,BoletoEletronico,64.2,3627.3,Nao
1806,4822-LPTYJ,Masculino,0,Sim,Nao,72,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,2 anos,Sim,DebitoAutomatico,103.75,7346.2,Nao
1807,3761-FLYZI,Feminino,1,Sim,Nao,65,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,108.8,7082.45,Nao
1808,4636-QRJKY,Feminino,0,Sim,Sim,6,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,80.5,502.85,Sim
1809,3376-BMGFE,Feminino,0,Nao,Nao,4,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,70.9,273.0,Sim
1810,5445-PZWGX,Masculino,0,Nao,Nao,62,Sim,Sim,Fibra,Sim,Sim,Nao,Sim,Nao,Sim,Anual,Nao,BoletoEletronico,102.0,6529.25,Sim
1811,6857-TKDJV,Masculino,0,Sim,Sim,67,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,24.65,1620.45,Nao
1812,1567-DSCIC,Masculino,0,Nao,Nao,8,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,94.0,773.65,Sim
1813,8544-JNBOX,Masculino,0,Nao,Nao,72,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,20.8,1521.2,Nao
1814,5386-THSLQ,Feminino,1,Sim,Nao,66,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Sim,Nao,Anual,Nao,DebitoAutomatico,45.55,3027.25,Nao
1815,6331-LWDTQ,Masculino,0,Nao,Nao,10,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,CartaoCredito,72.15,794.25,Sim
1816,9360-AHGNL,Feminino,1,Sim,Nao,43,Sim,Sim,Fibra,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Sim,BoletoImpresso,109.55,4830.25,Sim
1817,2150-UWTFY,Feminino,0,Sim,Sim,22,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,61.15,1422.05,Sim
1818,1508-DFXCU,Masculino,0,Nao,Nao,12,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,81.45,912.0,Nao
1819,6143-JQKEA,Masculino,0,Nao,Nao,10,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,45.8,436.2,Nao
1820,7801-CEDNV,Masculino,0,Sim,Nao,27,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Anual,Nao,CartaoCredito,48.7,1421.75,Nao
1821,2717-HVIZY,Feminino,0,Nao,Sim,8,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.05,163.6,Nao
1822,0064-SUDOG,Feminino,0,Sim,Sim,12,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,20.3,224.5,Nao
1823,6164-HAQTX,Masculino,0,Nao,Nao,71,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Sim,Nao,2 anos,Nao,DebitoAutomatico,53.95,3888.65,Nao
1824,1228-FZFRV,Masculino,0,Sim,Sim,50,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,Mensal,Nao,CartaoCredito,105.95,5341.8,Sim
1825,1679-JRFBR,Feminino,0,Sim,Sim,70,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Sim,Anual,Sim,CartaoCredito,108.15,7930.55,Nao
1826,1919-RTPQD,Masculino,0,Sim,Sim,7,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,44.75,333.65,Nao
1827,7641-EUYET,Masculino,1,Sim,Sim,46,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,100.7,4541.2,Sim
1828,2720-FVBQP,Feminino,0,Sim,Sim,6,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,48.95,273.25,Nao
1829,8035-PWSEV,Feminino,0,Nao,Nao,6,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,89.25,487.05,Nao
1830,3547-LQRIK,Feminino,0,Sim,Nao,47,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoEletronico,26.9,1250.85,Nao
1831,0376-OIWME,Masculino,0,Sim,Nao,36,Sim,Nao,Fibra,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,93.6,3366.05,Nao
1832,0325-XBFAC,Masculino,0,Nao,Nao,8,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.7,740.3,Sim
1833,2292-XQWSV,Masculino,0,Sim,Sim,40,Nao,SemTelefone,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Nao,BoletoImpresso,60.3,2448.5,Nao
1834,2252-JHJGE,Masculino,0,Nao,Nao,61,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Nao,BoletoEletronico,104.0,6363.45,Nao
1835,6176-YJWAS,Masculino,0,Sim,Nao,72,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,2 anos,Sim,CartaoCredito,97.95,7114.25,Nao
1836,6383-ZTSIW,Feminino,1,Sim,Nao,39,Sim,Nao,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Nao,BoletoImpresso,99.1,3877.95,Nao
1837,4365-MSDYN,Masculino,0,Sim,Nao,8,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,DebitoAutomatico,19.55,161.15,Nao
1838,1455-ESIQH,Masculino,0,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,89.1,89.1,Sim
1839,4664-NJCMS,Feminino,0,Sim,Nao,33,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,59.55,2016.3,Nao
1840,4911-BANWH,Feminino,0,Nao,Sim,31,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,86.55,2697.4,Sim
1841,7394-FKDNK,Feminino,0,Sim,Nao,9,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,89.45,853.1,Sim
1842,8285-ABVLB,Feminino,0,Sim,Nao,70,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.85,1328.35,Nao
1843,4644-OBGFZ,Masculino,0,Sim,Sim,55,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,19.5,1026.35,Nao
1844,8410-BGQXN,Masculino,0,Nao,Nao,4,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.4,93.4,Nao
1845,4091-TVOCN,Masculino,0,Nao,Sim,48,Sim,Sim,DSL,Sim,Nao,Sim,Nao,Sim,Sim,Anual,Sim,CartaoCredito,78.75,3682.45,Nao
1846,7157-SMCFK,Masculino,0,Nao,Sim,61,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.75,1124.2,Nao
1847,9799-CAYJJ,Feminino,1,Sim,Nao,2,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.3,153.8,Nao
1848,3683-QKIUE,Feminino,0,Nao,Nao,6,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,DebitoAutomatico,50.8,288.05,Sim
1849,3538-WZPHD,Masculino,0,Nao,Nao,3,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,29.6,79.45,Sim
1850,8205-OTCHB,Masculino,0,Nao,Nao,22,Nao,SemTelefone,DSL,Nao,Sim,Sim,Nao,Nao,Sim,Anual,Sim,DebitoAutomatico,43.75,903.6,Sim
1851,7674-YTAFD,Feminino,0,Nao,Nao,33,Sim,Nao,Fibra,Nao,Sim,Nao,Sim,Nao,Nao,Anual,Sim,DebitoAutomatico,79.95,2684.85,Nao
1852,1571-SAVHK,Masculino,0,Nao,Nao,12,Sim,Sim,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoImpresso,99.95,1132.75,Sim
1853,1779-PWPMG,Feminino,1,Sim,Nao,72,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,114.65,8333.95,Nao
1854,3969-JQABI,Feminino,0,Sim,Nao,58,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,CartaoCredito,65.25,3791.6,Nao
1855,3313-QKNKB,Masculino,0,Sim,Nao,59,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Anual,Nao,BoletoEletronico,85.55,5084.65,Sim
1856,9086-YJYXS,Masculino,0,Sim,Sim,34,Sim,Sim,DSL,Nao,Nao,Sim,Nao,Sim,Sim,Anual,Nao,DebitoAutomatico,77.2,2753.8,Nao
1857,1248-DYXUB,Masculino,0,Sim,Sim,52,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,24.8,1229.1,Nao
1858,0621-TWIEM,Masculino,0,Nao,Nao,10,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,45.55,402.6,Sim
1859,8679-JOEVF,Feminino,1,Nao,Nao,16,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Nao,BoletoEletronico,59.4,1023.9,Sim
1860,3424-NMNBO,Masculino,1,Sim,Nao,58,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,108.85,6287.25,Sim
1861,7209-JCUDS,Masculino,0,Nao,Nao,10,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,94.9,1048.85,Sim
1862,7952-OBOYL,Masculino,0,Nao,Nao,3,Sim,Nao,Fibra,Nao,Nao,Sim,Sim,Sim,Nao,Mensal,Sim,BoletoImpresso,89.85,244.45,Nao
1863,7876-DNYAP,Feminino,0,Sim,Sim,69,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.8,1436.95,Nao
1864,6549-NNDYT,Feminino,0,Nao,Nao,13,Nao,SemTelefone,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,30.85,394.1,Nao
1865,5419-KLXBN,Feminino,0,Sim,Sim,25,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,89.15,2257.75,Sim
1866,5028-HTLJB,Masculino,1,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.05,20.05,Sim
1867,1541-ETJZO,Masculino,0,Nao,Nao,1,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,62.05,62.05,Sim
1868,6999-CHVCF,Masculino,0,Nao,Nao,68,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Nao,Sim,2 anos,Sim,DebitoAutomatico,102.1,7149.35,Nao
1869,5167-ZFFMM,Masculino,0,Nao,Nao,1,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Sim,CartaoCredito,90.85,90.85,Sim
1870,6326-MTTXK,Masculino,0,Nao,Nao,8,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,100.85,819.55,Sim
1871,4195-NZGTA,Feminino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,25.25,25.25,Nao
1872,5619-PTMIK,Feminino,0,Sim,Nao,46,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,53.1,2459.8,Nao
1873,3932-IJWDZ,Masculino,0,Nao,Nao,45,Sim,Sim,Fibra,Nao,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,DebitoAutomatico,103.65,4747.85,Nao
1874,7089-IVVAZ,Feminino,0,Nao,Nao,8,Sim,Sim,Fibra,Sim,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,DebitoAutomatico,103.35,847.3,Sim
1875,3387-VATUS,Masculino,0,Nao,Nao,5,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,94.85,462.8,Sim
1876,5482-VXSXJ,Masculino,0,Nao,Nao,22,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoImpresso,93.2,2157.3,Nao
1877,2386-OWURY,Feminino,0,Nao,Nao,58,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,95.3,5817.7,Nao
1878,2625-TRCZQ,Feminino,0,Sim,Nao,51,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,49.65,2553.35,Nao
1879,9039-RBEEE,Masculino,0,Nao,Nao,39,Nao,SemTelefone,DSL,Sim,Sim,Nao,Sim,Sim,Nao,Mensal,Sim,CartaoCredito,48.95,1880.85,Sim
1880,6765-MBQNU,Feminino,0,Sim,Nao,26,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,BoletoImpresso,26.0,684.05,Nao
1881,0843-WTBXE,Masculino,0,Nao,Nao,53,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,DebitoAutomatico,85.45,4517.25,Sim
1882,1448-PWKYE,Masculino,0,Sim,Sim,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,BoletoEletronico,80.0,80.0,Sim
1883,6317-YPKDH,Feminino,0,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,29.95,29.95,Sim
1884,2027-CWDNU,Masculino,0,Sim,Sim,18,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Sim,Mensal,Sim,BoletoEletronico,85.6,1601.5,Nao
1885,2068-WWXQZ,Masculino,0,Nao,Nao,46,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,20.05,902.0,Nao
1886,6110-OHIHY,Masculino,0,Nao,Nao,3,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Nao,BoletoEletronico,79.25,267.6,Sim
1887,3945-GFWQL,Feminino,0,Nao,Sim,12,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,44.55,480.6,Sim
1888,8645-KWHJO,Masculino,0,Nao,Nao,14,Nao,SemTelefone,DSL,Nao,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,55.0,771.95,Nao
1889,2815-CPTUL,Masculino,1,Nao,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,70.25,331.9,Sim
1890,0516-OOHAR,Masculino,0,Sim,Sim,28,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Nao,DebitoAutomatico,100.35,2799.0,Nao
1891,0397-GZBBC,Masculino,1,Sim,Nao,59,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,93.85,5574.75,Sim
1892,3580-REOAC,Masculino,0,Nao,Nao,10,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,CartaoCredito,44.85,435.4,Sim
1893,8200-KLNYW,Feminino,0,Sim,Nao,21,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Nao,BoletoImpresso,80.9,1714.95,Nao
1894,3317-HRTNN,Feminino,1,Nao,Nao,5,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,45.7,198.0,Sim
1895,9108-EQPNQ,Feminino,0,Sim,Sim,10,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,26.1,225.55,Nao
1896,3420-ZDBMA,Masculino,1,Nao,Nao,5,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,71.45,371.6,Nao
1897,0727-IWKVK,Masculino,0,Sim,Nao,9,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,79.9,741.7,Sim
1898,8168-UQWWF,Feminino,0,Nao,Nao,11,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,97.85,1105.4,Sim
1899,8313-AFGBW,Masculino,0,Sim,Nao,47,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Sim,Sim,2 anos,Nao,BoletoEletronico,73.6,3522.65,Nao
1900,6351-SCJKT,Masculino,0,Nao,Nao,3,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,41.35,107.25,Nao
1901,0231-LXVAP,Masculino,0,Nao,Nao,1,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoEletronico,75.9,75.9,Sim
1902,8328-SKJNO,Masculino,0,Nao,Sim,23,Nao,SemTelefone,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Anual,Nao,DebitoAutomatico,40.65,947.4,Nao
1903,4385-GZQXV,Feminino,1,Nao,Nao,16,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,94.45,1511.2,Sim
1904,9513-DXHDA,Masculino,0,Nao,Nao,27,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Nao,BoletoEletronico,81.7,2212.55,Nao
1905,7225-IILWY,Masculino,0,Sim,Sim,68,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.75,1686.15,Nao
1906,2969-QWUBZ,Feminino,0,Nao,Nao,2,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,51.4,96.8,Nao
